,Date,HPA,HPD,Cie,Ligne,Esc 1,Immat,Type app,PKG,Remarque,Comment,Terminal,DATETIME,Graph_intervale,Brigade
42,2022-04-09,12:05:00,,DAH,6181,ORN,7TVUT,ATR72,PA1,ARRIVE 11:35,34PX,T2,2022-04-09 12:05:00,"[6484, 6486]",Journee
43,2022-04-09,,12:25:00,DLH,1317,FRA,,A321,P16,DECOLLE 12:32,126PX,T4,2022-04-09 12:25:00,"[6500, 6510]",Journee
44,2022-04-09,,12:30:00,DAH,6216,OGX,7TVUM,ATR72,PA1,DECOLLE 12:35,61PX,T2,2022-04-09 12:30:00,"[6509, 6511]",Journee
45,2022-04-09,,12:30:00,DTH,1402,RNS,7TVCL,DH8D,PA1,DECOLLE 12:24,24PX,T2,2022-04-09 12:30:00,"[6509, 6511]",Journee
46,2022-04-09,,13:00:00,DAH,6228,HME,7TVUT,ATR72,PA1,DECOLLE 12:55,39PX,T2,2022-04-09 13:00:00,"[6539, 6541]",Journee
47,2022-04-09,,13:05:00,AFR,4145,CDG,,B777,P23B,DECOLLE 13:28,335PX,T4,2022-04-09 13:05:00,"[6540, 6550]",Journee
48,2022-04-09,13:10:00,,DAH,6043,BSK,7TVJL,B738,PA1,ARRIVE 13:40,148PX,T2,2022-04-09 13:10:00,"[6549, 6551]",Journee
49,2022-04-09,13:15:00,,QTR,1379,DOH,,A332,P6B,ARRIVE 13:31,PX05,T1,2022-04-09 13:15:00,"[6551, 6559]",Journee
50,2022-04-09,,13:20:00,DAH,1020,MRS,7TVJW,A330,P24B,DECOLLE 13:23,294PX,T4,2022-04-09 13:20:00,"[6555, 6565]",Journee
51,2022-04-09,,13:20:00,THY,652,IST,,B777,P3B,DECOLLE 13:26,106PX,T1,2022-04-09 13:20:00,"[6556, 6564]",Journee
52,2022-04-09,13:25:00,,DAH,6033,TEE,7TVUW,ATR72,PA1,ARRIVE 13:30,67PX,T2,2022-04-09 13:25:00,"[6564, 6566]",Journee
53,2022-04-09,13:35:00,,TAR,374,TUN,,A320,P1,ARRIVE 13:21,136PX,T1,2022-04-09 13:35:00,"[6571, 6579]",Journee
54,2022-04-09,14:20:00,,DAH,6253,ELU,7TVUO,ATR72,PA1,ARRIVE 14:15,66PX,T2,2022-04-09 14:20:00,"[6619, 6621]",Journee
55,2022-04-09,14:30:00,,DAH,6157,TMX,7TVJR,B736,P11A,ARRIVE 14:49,72PX,T2,2022-04-09 14:30:00,"[6629, 6631]",Journee
56,2022-04-09,14:30:00,,DAH,4063,DXB,7TVJC,A330,P23B,ARRIVE 14:58,PX121,T4,2022-04-09 14:30:00,"[6625, 6635]",Journee
57,2022-04-09,,14:30:00,DAH,6056,GJL,7TVJU,B736,P11A,DECOLLE 14:25,A TRACTE/91 PAX,T2,2022-04-09 14:30:00,"[6629, 6631]",Journee
58,2022-04-09,,14:30:00,DAH,6184,ORN,7TVJS,B736,P12,DECOLLE 14:47,A TRACTE/101 PAX,T2,2022-04-09 14:30:00,"[6629, 6631]",Journee
59,2022-04-09,,14:35:00,TAR,375,TUN,,A320,P1,DECOLLE 14:41,151PAX,T1,2022-04-09 14:35:00,"[6631, 6639]",Journee
60,2022-04-09,15:00:00,,DAH,6143,AZR,7TVJT,B736,P9,DECOLLE 15:01,84PAX,T2,2022-04-09 15:00:00,"[6659, 6661]",Journee
61,2022-04-09,15:10:00,,DAH,1011,ORY,7TVJZ,A330,P20,ARRIVE 15:57,269PAX,T4,2022-04-09 15:10:00,"[6665, 6675]",Journee
62,2022-04-09,15:15:00,,DTH,1201,HME,7TVCM,DH8D,PA1,ARRIVE 15:10,45PAX,T2,2022-04-09 15:15:00,"[6674, 6676]",Journee
